Gm#,Year,Date,Month,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,DATE,OPP,Play,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
2,2015,"Wednesday, Apr 8",April,boxscore,WSN,,NYM,W,2,1,,1-1,2,1.5,Zimmermann,deGrom,Storen,2:21,1,"25,999",8-Apr,vs NYM,1,WÊ2-1,3,0,2,0,0,0,0,1,1,0,0,0.625,1,1.625,0.571
3,2015,"Thursday, Apr 9",April,boxscore,WSN,,NYM,L,3,6,,1-2,3,2,Harvey,Strasburg,,2:54,0,"25,327",9-Apr,vs NYM,1,LÊ6-3,4,0,0,0,0,0,0,0,3,0,0,0.417,0.636,1.053,0.364
10,2015,"Thursday, Apr 16",April,boxscore,WSN,,PHI,W,5,2,,4-6,3,3,Fister,Hamels,Storen,2:16,1,"24,768",16-Apr,vs PHI,1,WÊ5-2,2,2,0,0,0,0,0,2,2,0,0,0.341,0.421,0.762,0.237
11,2015,"Friday, Apr 17",April,boxscore,WSN,,PHI,W,7,2,,5-6,3,3,Scherzer,O'Sullivan,,2:38,1,"31,608",17-Apr,vs PHI,1,WÊ7-2,2,2,1,0,0,1,3,2,1,0,0,0.375,0.5,0.875,0.25
12,2015,"Saturday, Apr 18",April,boxscore,WSN,,PHI,L,3,5,,5-7,3,4,Harang,Zimmermann,Papelbon,2:56,0,"35,330",18-Apr,vs PHI,1,LÊ5-3,3,1,2,0,0,1,1,1,0,0,0,0.404,0.581,0.985,0.279
13,2015,"Sunday, Apr 19",April,boxscore,WSN,,PHI,W,4,1,,6-7,3,4,Strasburg,Buchanan,Storen,2:40,0,"36,631",19-Apr,vs PHI,1,WÊ4-1,2,0,0,0,0,0,0,2,1,0,0,0.411,0.556,0.967,0.267
14,2015,"Tuesday, Apr 21",April,boxscore,WSN,,STL,W-wo,2,1,10,7-7,3,4,Barrett,Villanueva,,3:43,1,"27,021",21-Apr,vs STL,1,WÊ2-1,4,0,1,0,0,0,1,1,2,0,0,0.41,0.531,0.941,0.265
15,2015,"Wednesday, Apr 22",April,boxscore,WSN,,STL,L,5,7,,7-8,3,5,Siegrist,Treinen,Rosenthal,2:51,1,"25,771",22-Apr,vs STL,1,LÊ7-5,2,1,0,0,0,0,0,2,1,0,1,0.415,0.51,0.925,0.255
16,2015,"Thursday, Apr 23",April,boxscore,WSN,,STL,L,1,4,,7-9,3,6,Wacha,Scherzer,Rosenthal,2:31,0,"26,990",23-Apr,vs STL,1,LÊ4-1,3,0,1,0,0,0,0,1,1,0,0,0.42,0.5,0.92,0.259
27,2015,"Monday, May 4",May,boxscore,WSN,,MIA,W,6,4,,13-14,2,3.5,Grace,Morris,Roark,2:42,1,"24,731",4-May,vs MIA,1,WÊ6-4,2,0,0,0,0,0,0,2,0,0,0,0.419,0.478,0.897,0.256
